date,close,change,pct,open,high,low,volume,fetch_time
2025-03-25,3023.70,10.60,0.35,3026.40,3028.80,3023.70,74,
2025-03-26,3020.90,-2.80,-0.09,3033.20,3033.20,3019.50,83,
2025-03-27,3060.20,39.30,1.30,3025.50,3065.00,3025.50,124359,
2025-03-28,3086.50,26.30,0.86,3069.70,3094.90,3066.80,31206,
2025-03-31,3122.80,36.30,1.18,3091.00,3132.50,3086.00,3438,
2025-04-01,3118.90,-3.90,-0.12,3129.70,3149.50,3104.00,1721,
2025-04-02,3139.90,21.00,0.67,3120.70,3168.60,3117.40,5946,
2025-04-03,3097.00,-42.90,-1.37,3150.00,3166.90,3052.00,5516,
2025-04-04,3012.00,-85.00,-2.74,3110.50,3127.70,3011.00,3247,
2025-04-07,2951.30,-60.70,-2.02,3016.40,3050.80,2949.70,4424,
2025-04-08,2968.40,17.10,0.58,2994.00,3014.50,2968.40,3213,
2025-04-09,3056.50,88.10,2.97,2965.80,3090.40,2965.80,2175,
2025-04-10,3155.20,98.70,3.23,3073.90,3167.00,3072.10,3456,
2025-04-11,3222.20,67.00,2.12,3182.10,3235.00,3182.10,862,
2025-04-14,3204.80,-17.40,-0.54,3215.50,3228.80,3194.50,263,
2025-04-15,3218.70,13.90,0.43,3216.00,3218.70,3214.00,390,
2025-04-16,3326.60,107.90,3.35,3238.30,3334.90,3238.30,1874,
2025-04-17,3308.70,-17.90,-0.54,3345.00,3345.00,3287.80,824,
2025-04-21,3406.20,97.50,2.95,3342.20,3418.50,3342.20,78,
2025-04-22,3400.80,-5.40,-0.16,3422.20,3485.60,3361.70,785,
2025-04-23,3276.30,-124.50,-3.66,3321.20,3370.30,3256.20,331,
2025-04-24,3332.00,55.70,1.70,3305.40,3353.90,3304.90,560,
2025-04-25,3282.40,-49.60,-1.49,3355.50,3355.50,3266.10,162,
2025-04-28,3332.50,50.10,1.53,3284.50,3332.50,3284.50,1300,
2025-04-29,3318.80,-13.70,-0.41,3340.00,3340.00,3299.90,1278,
2025-04-30,3305.00,-13.80,-0.42,3318.70,3318.70,3268.00,207,
2025-05-01,3210.00,-95.00,-2.87,3272.90,3275.00,3198.60,2131,
